model,sample,orientation,housing,dimming,rack,branch,socket
11,27,u,0,1,3,5,6
11,28,u,0,1,3,5,7
11,29,u,1,1,4,8,7
11,30,u,1,1,4,8,8
11,31,u,1,1,4,8,9
12,1,d,0,0,1,4,2
12,2,u,1,0,1,5,1
12,3,u,1,0,1,5,2
12,4,u,1,0,1,5,3
12,5,u,1,0,1,5,4
12,6,u,1,0,1,6,10
12,7,d,0,1,2,1,3
12,8,d,0,1,2,1,4
12,9,h,0,1,2,5,3
12,10,h,0,1,2,5,4
12,11,u,0,1,3,5,8
12,12,u,0,1,3,5,9
12,13,u,0,1,3,5,10
12,14,h,0,0,6,3,6
12,15,h,0,0,6,3,7
12,16,h,0,0,6,3,8
12,17,h,0,0,6,3,9
12,18,h,0,0,6,3,10
12,19,u,0,0,7,4,1
12,20,u,0,0,7,4,2
12,21,u,0,0,7,4,3
12,22,u,0,0,7,4,4
12,23,u,0,0,7,4,5
12,24,d,0,0,7,1,6
12,25,d,0,0,7,1,7
12,26,d,0,0,7,1,8
12,27,d,0,0,7,1,9
12,28,d,0,0,7,1,10
12,29,u,1,1,4,8,4
12,30,u,1,1,4,8,5
12,31,u,1,1,4,8,6
13,1,d,0,0,1,4,3
13,2,u,1,0,1,6,1
13,3,u,1,0,1,6,2
13,4,u,1,0,1,6,3
13,5,u,1,0,1,6,4
13,6,u,1,0,1,7,6
13,7,d,0,1,2,1,1
13,8,d,0,1,2,1,2
13,9,h,0,1,2,5,1
13,10,h,0,1,2,5,2
13,11,u,0,1,3,7,7
13,12,u,0,1,3,7,8
13,13,u,0,1,3,7,9
13,14,u,1,1,4,8,1
13,15,u,1,1,4,8,2
13,16,u,1,1,4,8,3
13,17,h,0,0,6,4,1
13,18,h,0,0,6,4,2
13,19,h,0,0,6,4,3
13,20,h,0,0,6,4,4
13,21,h,0,0,6,4,5
13,22,u,0,0,7,5,1
13,23,u,0,0,7,5,2
13,24,u,0,0,7,5,3
13,25,u,0,0,7,5,4
13,26,u,0,0,7,5,5
13,27,d,0,0,7,2,1
13,28,d,0,0,7,2,2
13,29,d,0,0,7,2,3
13,30,d,0,0,7,2,4
13,31,d,0,0,7,2,5
14,1,d,0,0,1,4,4
14,2,u,1,0,1,7,7
14,3,u,1,0,6,8,6
14,4,u,1,0,5,6,1
14,5,u,1,0,5,6,6
14,6,u,1,0,1,6,5
14,7,u,0,1,2,3,1
14,8,u,0,1,2,3,2
14,9,d,0,1,2,1,5
14,10,d,0,1,2,1,6
14,11,h,0,1,2,5,5
14,12,h,0,1,2,5,6
14,13,u,1,1,2,7,1
14,14,u,1,1,2,7,2
14,15,u,0,1,3,7,10
14,16,u,1,1,4,8,10
14,17,h,0,0,6,4,6
14,18,h,0,0,6,4,7
14,19,h,0,0,6,4,8
14,20,h,0,0,6,4,9
14,21,h,0,0,6,4,10
14,22,u,0,0,7,5,6
14,23,u,0,0,7,5,7
14,24,u,0,0,7,5,8
14,25,u,0,0,7,5,9
14,26,u,0,0,7,5,10
14,27,d,0,0,7,2,6
14,28,d,0,0,7,2,7
14,29,d,0,0,7,2,8
14,30,d,0,0,7,2,9
14,31,d,0,0,7,2,10
15,1,u,1,0,1,7,8
15,2,u,1,0,6,8,1
15,3,u,1,0,5,7,1
15,4,u,1,0,5,7,6
15,5,u,1,0,1,7,5
15,6,u,0,1,2,3,3
15,7,u,0,1,2,3,4
15,8,u,0,1,2,3,5
15,9,d,0,1,2,1,9
15,10,d,0,1,2,1,10
15,11,h,0,1,2,5,9
15,12,h,0,1,2,5,10
15,13,u,1,1,2,7,3
15,14,u,1,1,2,7,4
15,15,u,1,1,2,7,5
15,16,h,0,0,6,5,6
15,17,h,0,0,6,5,7
15,18,h,0,0,6,5,8
15,19,h,0,0,6,5,9
15,20,h,0,0,6,5,10
15,21,u,0,0,7,6,6
15,22,u,0,0,7,6,7
15,23,u,0,0,7,6,8
15,24,u,0,0,7,6,9
15,25,u,0,0,7,6,10
15,26,d,0,0,7,3,6
15,27,d,0,0,7,3,7
15,28,d,0,0,7,3,8
15,29,d,0,0,7,3,9
15,30,d,0,0,7,3,10
15,31,d,0,0,1,4,5
16,1,d,0,0,1,4,6
16,2,u,1,0,1,7,1
16,3,u,1,0,1,7,2
16,4,u,1,0,1,7,3
16,5,u,1,0,1,7,4
16,6,u,1,0,1,7,9
16,7,u,0,1,2,3,8
16,8,u,0,1,2,3,9
16,9,u,0,1,2,3,10
16,10,d,0,1,2,2,3
16,11,d,0,1,2,2,4
16,12,h,0,1,2,6,3
16,13,h,0,1,2,6,4
16,14,u,1,1,2,7,6
16,15,u,1,1,2,7,7
16,16,u,1,1,2,7,8
16,17,h,0,0,6,5,1
16,18,h,0,0,6,5,2
16,19,h,0,0,6,5,3
16,20,h,0,0,6,5,4
16,21,h,0,0,6,5,5
16,22,u,0,0,7,6,1
16,23,u,0,0,7,6,2
16,24,u,0,0,7,6,3
16,25,u,0,0,7,6,4
16,26,u,0,0,7,6,5
16,27,d,0,0,7,3,1
16,28,d,0,0,7,3,2
16,29,d,0,0,7,3,3
16,30,d,0,0,7,3,4
16,31,d,0,0,7,3,5
17,1,d,0,0,1,4,7
17,2,u,1,0,1,7,10
17,3,u,1,0,1,8,6
17,4,u,1,0,1,8,7
17,5,u,1,0,5,8,6
17,6,u,1,0,1,8,5
17,7,u,0,1,2,3,6
17,8,u,0,1,2,3,7
17,9,u,0,1,2,4,4
17,10,d,0,1,2,2,5
17,11,d,0,1,2,2,6
17,12,h,0,1,2,6,5
17,13,h,0,1,2,6,6
17,14,u,1,1,2,7,9
17,15,u,1,1,2,7,10
17,16,u,1,1,2,8,4
17,17,d,0,0,6,1,6
17,18,d,0,0,6,1,7
17,19,d,0,0,6,1,8
17,20,d,0,0,6,1,9
17,21,d,0,0,6,1,10
17,22,h,0,0,6,6,6
17,23,h,0,0,6,6,7
17,24,h,0,0,6,6,8
17,25,h,0,0,6,6,9
17,26,h,0,0,6,6,10
17,27,u,0,0,7,7,6
17,28,u,0,0,7,7,7
17,29,u,0,0,7,7,8
17,30,u,0,0,7,7,9
17,31,u,0,0,7,7,10
18,1,d,0,0,1,4,8
18,2,u,1,0,1,8,1
18,3,u,1,0,1,8,2
18,4,u,1,0,1,8,3
18,5,u,1,0,1,8,4
18,6,u,1,0,1,8,8
18,7,u,0,1,2,4,1
18,8,u,0,1,2,4,2
18,9,u,0,1,2,4,3
18,10,d,0,1,2,2,1
18,11,d,0,1,2,2,2
18,12,h,0,1,2,6,1
18,13,h,0,1,2,6,2
18,14,u,1,1,2,8,1
18,15,u,1,1,2,8,2
18,16,u,1,1,2,8,3
18,17,d,0,0,6,1,1
18,18,u,0,0,7,7,1
18,19,u,0,0,7,7,2
18,20,u,0,0,7,7,3
18,21,d,0,0,6,1,2
18,22,d,0,0,6,1,3
18,23,d,0,0,6,1,4
18,24,d,0,0,6,1,5
18,25,h,0,0,6,6,1
18,26,h,0,0,6,6,2
18,27,h,0,0,6,6,3
18,28,h,0,0,6,6,4
18,29,h,0,0,6,6,5
18,30,u,0,0,7,7,4
18,31,u,0,0,7,7,5
19,1,d,0,0,6,2,6
19,2,d,0,0,6,2,7
19,3,d,0,0,6,2,8
19,4,d,0,0,6,2,9
19,5,d,0,0,6,2,10
19,6,h,0,0,6,7,6
