project,model,sample,orientation,housing,dimming,rack,branch,socket,manufacturer,productName,lampShapeSize,lastHours
ledLifeTesting,3,28,u,1,1,4,5,7,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,29,u,1,1,4,5,8,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,30,u,1,1,4,5,9,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,3,31,d,0,0,1,3,3,TCP,LED9E26P2027KNFL,PAR20,3000
ledLifeTesting,4,1,d,0,0,4,4,6,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,2,d,0,0,4,4,7,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,3,d,0,0,4,4,8,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,4,d,0,0,4,4,9,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,5,d,0,0,4,4,10,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,6,u,0,0,8,6,6,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,7,u,0,0,8,6,7,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,8,u,0,0,8,6,8,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,9,u,0,0,8,6,9,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,10,u,0,0,8,6,10,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,11,h,0,0,8,2,6,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,12,h,0,0,8,2,7,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,13,h,0,0,8,2,8,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,14,h,0,0,8,2,9,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,15,h,0,0,8,2,10,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,16,u,1,0,1,5,9,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,17,u,1,0,5,6,7,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,18,u,1,0,5,6,8,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,19,u,1,0,5,6,9,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,20,u,1,0,5,6,10,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,21,u,0,1,3,3,10,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,22,u,0,1,3,4,1,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,23,u,0,1,3,4,2,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,24,d,0,1,3,1,7,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,25,d,0,1,3,1,8,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,26,h,0,1,3,6,7,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,27,h,0,1,3,6,8,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,28,u,1,1,4,5,10,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,29,u,1,1,4,6,1,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,30,u,1,1,4,6,2,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,4,31,d,0,0,1,3,4,LightingScience,DFN 30 W27 V2 NFL 120,PAR30,3000
ledLifeTesting,5,1,d,0,0,4,3,1,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,2,d,0,0,4,3,2,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,3,d,0,0,4,3,3,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,4,d,0,0,4,3,4,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,5,d,0,0,4,3,5,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,6,u,0,0,8,7,1,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,7,u,0,0,8,7,2,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,8,u,0,0,8,7,3,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,9,u,0,0,8,7,4,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,10,u,0,0,8,7,5,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,11,h,0,0,8,3,1,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,12,h,0,0,8,3,2,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,13,h,0,0,8,3,3,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,14,h,0,0,8,3,4,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,15,h,0,0,8,3,5,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,16,u,1,0,1,5,10,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,17,u,1,0,5,7,2,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,18,u,1,0,5,7,3,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,19,u,1,0,5,7,4,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,20,u,1,0,5,7,5,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,21,u,0,1,3,4,3,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,22,u,0,1,3,4,4,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,23,u,0,1,3,4,5,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,24,d,0,1,3,1,9,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,25,d,0,1,3,1,10,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,26,h,0,1,3,6,9,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,27,h,0,1,3,6,10,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,28,u,1,1,4,6,3,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,29,u,1,1,4,6,4,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,30,u,1,1,4,6,5,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,5,31,d,0,0,1,3,5,GE,LED7DP20W830/10,PAR20,3000
ledLifeTesting,6,1,d,0,0,4,3,6,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,2,d,0,0,4,3,7,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,3,d,0,0,4,3,8,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,4,d,0,0,4,3,9,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,5,d,0,0,4,3,10,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,6,u,0,0,8,7,6,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,7,u,0,0,8,7,7,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,8,u,0,0,8,7,8,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,9,u,0,0,8,7,9,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,10,u,0,0,8,7,10,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,11,h,0,0,8,3,6,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,12,h,0,0,8,3,7,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,13,h,0,0,8,3,8,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,14,h,0,0,8,3,9,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,15,h,0,0,8,3,10,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,16,u,1,0,1,6,6,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,17,u,1,0,5,7,7,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,18,u,1,0,5,7,8,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
ledLifeTesting,6,19,u,1,0,5,7,9,Acuity/Acculamp,ALSP20 530L 45 DIM,PAR20,3000
